,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
7SK,-0.14758626,0.13092925,-0.48346296,0.17013244,0.2401055,-0.11460541,-0.24186085,-0.04421314,-0.028715435,0.02884781,0.15324298,0.048754983,-0.24271175,-0.14477634,0.07718569,0.019501295,-0.49853936,-0.03318455,0.068844914,0.43061346,-0.0818709,0.12501383,0.1520912,0.18795088,0.33238244,-0.1728369,-0.16378719,-0.15132718,-0.10764712,-0.3668799,0.14710784,-0.22996315,0.27071327,-0.4192662,-0.057331845,-0.16922836,0.22183335,-0.19867948,0.4145125,0.06999172,-0.3116392,-0.047220428,-0.116733246,-0.27359948,-0.19623512,0.26000375,-0.13106021,-0.2418115,-0.45461398,0.33523765,-0.12412223,0.009723017,-0.0099259345,-0.15828784,0.1741086,-0.15729854,0.18093601,-0.27753532,-0.12454734,-0.13564627,0.2515823,-0.19929576,0.053276233,0.16549158
ADAMTS9-AS2,0.33224732,0.021395769,-0.16499996,0.7956163,0.029668933,0.02123749,-0.24123198,-0.17712088,-0.59462214,-0.03583084,-0.08572651,-0.31325543,-0.1011819,-0.4107325,0.152358,0.263281,-0.9603241,0.047668174,-0.06271193,0.37880176,-0.17925407,0.26738223,-0.028429806,0.27130273,0.08326154,-0.4987753,-0.27185667,-0.6717782,0.38967153,-0.7177085,-0.16900964,-0.61186343,0.73497367,-0.588331,-0.55647606,0.08558456,0.6531779,-0.19866244,0.7369979,-0.2093141,-0.20081222,-0.21240994,0.08488234,0.029445715,-0.28212595,0.27510363,-0.59034187,0.026947163,-0.4414701,0.6593817,-0.6595341,-0.39599836,-0.48924115,-0.22384356,-0.23011604,0.29047158,0.3528384,-0.58481073,0.2681295,-0.37270147,-0.19524261,0.34434286,0.52867264,-0.2549913
ATP6V1G2-DDX39B,0.045252725,0.061034437,-0.33668655,0.37602437,0.13537636,-0.0031357845,-0.21657467,-0.12780459,-0.2823808,-0.02522709,0.045204226,-0.063186295,-0.17303765,-0.27824885,0.112538256,0.08693425,-0.6882127,-0.058294997,0.039035544,0.43592617,-0.12395554,0.17044759,0.06026917,0.21331736,0.24269088,-0.3416096,-0.28256688,-0.3551003,0.105244905,-0.53058547,0.016808115,-0.38176593,0.4438859,-0.4355676,-0.30420962,-0.11909418,0.42879152,-0.17549248,0.53256327,-0.01328375,-0.30153853,-0.11899362,-0.07475884,-0.121231936,-0.24359328,0.30822268,-0.32165313,-0.13231023,-0.41634142,0.49848855,-0.3238859,-0.1949075,-0.21458328,-0.22932868,0.009367815,0.04424845,0.3075846,-0.42860368,0.05943762,-0.2953767,0.020283796,0.015348494,0.23254795,-0.029561035
ATXN8OS,0.33224735,0.021395769,-0.16499996,0.79561627,0.029668929,0.021237496,-0.241232,-0.17712085,-0.5946222,-0.035830848,-0.0857265,-0.31325546,-0.101181895,-0.41073242,0.152358,0.26328102,-0.96032405,0.047668178,-0.06271194,0.37880176,-0.17925407,0.26738226,-0.028429804,0.27130267,0.08326155,-0.49877536,-0.27185667,-0.67177844,0.38967153,-0.71770847,-0.16900958,-0.6118634,0.7349736,-0.5883308,-0.556476,0.085584536,0.65317786,-0.19866243,0.73699784,-0.20931411,-0.20081225,-0.21240994,0.08488231,0.029445717,-0.28212598,0.27510363,-0.59034187,0.026947163,-0.44147003,0.65938157,-0.65953404,-0.3959984,-0.48924112,-0.22384357,-0.23011602,0.2904716,0.35283834,-0.5848108,0.2681295,-0.3727014,-0.19524261,0.34434283,0.52867264,-0.2549913
BACE1-AS,0.52464736,0.21898036,-0.1814136,1.4397755,0.19967434,-0.5186487,-0.325316,0.2531859,-0.47782558,0.2917364,-0.06382633,-0.886384,-0.15712348,-0.09851562,0.13556767,0.62043244,-0.99391234,0.7365035,-0.4068955,-0.068835184,-0.09890219,0.41911522,0.12886277,0.3163018,-0.19933431,-0.07800128,0.6010151,-0.8919677,0.4297698,-0.46422732,-0.16318193,-0.6776737,0.9295005,-1.0482185,-0.08281628,0.8066467,0.30416745,-0.44624275,0.7845467,-0.6482965,0.2864224,-0.11498284,0.63117087,-0.25109696,-0.13423392,-0.31806263,-0.58255947,0.14378509,-0.7059298,0.31823602,-0.8624159,-0.02114547,-0.5285381,0.30521175,-0.35029474,0.20112851,-0.35391474,-0.3251928,0.05021764,0.3504198,0.33701593,0.6093366,0.7367876,-0.08423032
BANCR,0.5206896,0.22042412,-0.18564895,1.4420743,0.20391777,-0.5184812,-0.32322624,0.2528499,-0.4716443,0.29026315,-0.06612735,-0.885412,-0.1595317,-0.098876625,0.13307695,0.61976916,-0.99614495,0.7350695,-0.40519285,-0.07441316,-0.09385898,0.4235647,0.13081102,0.3197615,-0.19628842,-0.0788887,0.6026079,-0.8950955,0.43008035,-0.46693853,-0.15864828,-0.6829677,0.93295634,-1.048441,-0.08200389,0.8035908,0.30206594,-0.45099652,0.7806225,-0.65077937,0.28145188,-0.11603281,0.62957346,-0.25600898,-0.13289367,-0.3238464,-0.57807374,0.1469256,-0.71671885,0.31245697,-0.8587557,-0.018356053,-0.52459663,0.30871233,-0.34861225,0.19970392,-0.35474932,-0.3290931,0.047914043,0.34906498,0.3376731,0.6118467,0.73229605,-0.08982862
BCAR4,0.5242599,0.22372589,-0.18637586,1.4510014,0.2056944,-0.52873856,-0.32594785,0.2624211,-0.47056672,0.2981968,-0.06462385,-0.89623207,-0.16009334,-0.09089515,0.1343702,0.6270652,-0.9941225,0.7511949,-0.41100624,-0.08021304,-0.09372837,0.42358395,0.13239406,0.32084778,-0.20422582,-0.06887817,0.618841,-0.8947244,0.42962414,-0.46082947,-0.16093497,-0.6807551,0.9338437,-1.0559686,-0.072250284,0.8176169,0.29673356,-0.45286456,0.78407353,-0.65745956,0.29148522,-0.115023986,0.6399688,-0.25962418,-0.13154735,-0.33139533,-0.57825905,0.14577915,-0.71657217,0.30792832,-0.86261064,-0.012516541,-0.5261252,0.31753027,-0.3519853,0.19752142,-0.3683559,-0.32295403,0.04334915,0.36368194,0.34901118,0.613626,0.738281,-0.08367044
BCYRN1,0.23606375,0.61809266,0.08806348,0.6873257,-0.0796631,0.032870233,0.5081277,0.19461033,-0.08851799,-0.34600526,0.689069,-0.6031523,0.9424435,1.028683,-0.3671374,0.30339628,-0.4185835,0.1773859,0.6442363,0.1173805,0.26110908,-0.28914744,-0.1504967,-0.038499825,-0.3296255,0.2400706,0.2907245,-0.6424244,0.13398719,0.12485397,0.06255253,-0.58890224,1.0081456,-0.5049048,-0.06452656,-0.048432518,0.84062934,-0.024975423,0.48335615,-0.022347152,0.008922547,-0.50564545,0.8114016,-0.03132561,0.10547318,-0.20131451,0.38271314,0.10044043,-0.6014742,-0.013010971,-0.2461591,-0.7290605,-0.4101966,0.72791326,-0.33980682,0.12034705,-0.16739775,-1.0580964,-0.541155,0.42763776,0.04793796,0.48648465,0.10071494,0.057301804
BDNF-AS,0.5228577,0.21504651,-0.18016556,1.4301353,0.19603023,-0.5090938,-0.32397503,0.24506108,-0.48167962,0.28556427,-0.06510395,-0.87735265,-0.15555546,-0.10486587,0.13562234,0.61458284,-0.99444884,0.7241508,-0.401412,-0.061339583,-0.10090795,0.41681147,0.12566155,0.3149103,-0.19459455,-0.08669346,0.5852694,-0.8897874,0.43024373,-0.4692351,-0.16424827,-0.67744887,0.9269806,-1.0405045,-0.09266711,0.79469156,0.31142807,-0.4421533,0.7846569,-0.64106655,0.27851537,-0.11673216,0.622272,-0.245162,-0.13684401,-0.30767155,-0.5840633,0.14288796,-0.7011205,0.32500723,-0.8603626,-0.028494623,-0.5287589,0.29546857,-0.34884053,0.2042779,-0.34112185,-0.3302347,0.054733153,0.3376535,0.32643548,0.6063063,0.7344568,-0.0882333
BOK-AS1,0.4018112,0.03655059,-0.1368646,0.94003445,0.034895603,-0.03902878,-0.2467003,-0.12592682,-0.6289885,0.0035744752,-0.105944045,-0.42620772,-0.09531732,-0.3871904,0.15604718,0.33032233,-1.0047587,0.14732179,-0.12194108,0.3056492,-0.17177059,0.30017075,-0.021021148,0.28098685,0.022551123,-0.46947032,-0.16100658,-0.75104344,0.44225204,-0.71152216,-0.19521433,-0.65589106,0.7999563,-0.6612765,-0.53513634,0.20793864,0.6417606,-0.2351426,0.76645136,-0.29363278,-0.123531945,-0.20822889,0.17640847,0.016502969,-0.26963764,0.190041,-0.62560594,0.06821734,-0.47574645,0.6387272,-0.73071724,-0.38185373,-0.53713846,-0.15685484,-0.28370553,0.32106248,0.26824987,-0.5778149,0.2709136,-0.29184392,-0.1575009,0.4318788,0.5985172,-0.27069485
